phecode	class	phenotype	min_p_locus	pph4_fullpairs	n_sig	pph4_sigpairs	has_locus_signal
KRA_PSY_DEMENTIA_EXMORE	AD_positive_control	Any dementia (more control exclusions)	2.31047e-11	0.983447356631141	40	0.9807542379976	TRUE
F5_ALZHDEMENT	AD_positive_control	Dementia in Alzheimer disease	4.86295e-08	0.975978110081673	40	0.979707437275024	TRUE
F5_DEMENTIA	AD_positive_control	Dementia	2.43052e-14	0.983505669508592	40	0.979205853692914	TRUE
G6_ALZHEIMER	AD_positive_control	Alzheimer disease	9.96323e-12	0.980042728665705	40	0.979186593668448	TRUE
F5_DEMENTIA_INCLAVO	AD_positive_control	Dementia, including avohilmo	8.09096e-14	0.982766137239649	40	0.978766063475529	TRUE
G6_AD_WIDE	AD_positive_control	Alzheimer’s disease, wide definition	6.07995e-11	0.976035339029431	40	0.977789018568337	TRUE
ST19_FRACT_FOREA	negative_control	Fracture of forearm	5.00991e-06	0.107240250333621	40	0.628729968006889	TRUE
L12_NAIL_INGROW	negative_control	Ingrowing nail	0.001439	0.0694036460682868	40	0.0768160823139347	FALSE
H7_MYOPIA	negative_control	Myopia	1.31341e-05	0.0406758753335061	40	0.0616947470575666	TRUE
K11_UMBHER	negative_control	Umbilical hernia	0.00384211	0.0523346233103668	40	0.0544721884505165	FALSE
ABDOM_HERNIA	negative_control	Hernia of abdominal wall	0.00366843	0.0349661504552092	40	0.0357461731830403	FALSE
H7_ASTIGMATISM	negative_control	Astigmatism	0.000606848	0.0275858342772268	40	0.0303621382200737	FALSE
M13_RECUDISLOCATIO	negative_control	Recurrent dislocation and subluxation of joint	0.00289181	0.0178087058186769	40	0.0205441038876574	FALSE
J10_SEPTDEV	negative_control	Deviated nasal septum	0.000208805	0.0159186867893763	40	0.018156843316306	FALSE
ST19_FRACT_RIBS_STERNUM_THORACIC_SPINE	negative_control	Fracture of rib(s), sternum and thoracic spine	0.00279287	0.0174783983813318	40	0.0180004574306567	FALSE
K11_VENTHER	negative_control	Ventral hernia	0.00120598	0.0149815103117733	40	0.0156412309565607	FALSE
K11_HERNIA	negative_control	Hernia	1.49228e-05	0.0094642319678393	40	0.0127637302968369	TRUE
ST19_FRACT_LUMBAR_SPINE_PELVIS	negative_control	Fracture of lumbar spine and pelvis	0.000747395	0.011038075326147	40	0.0124706011710722	FALSE
K11_ANOMALI_DENTAL_ARCH_RELATIONS1	negative_control	Anomalies of dental arch relationship, including avohilmo	0.000876052	0.0116931883544196	40	0.0122756770878633	FALSE
H7_REFRAACCOMMODIS	negative_control	Disorders of refraction and accommodation	0.000591793	0.00985677707378061	40	0.0107381119979238	FALSE
K11_DIAHER	negative_control	Diaphragmatic hernia	0.0018889	0.00911061976178769	40	0.00969352641515727	FALSE
ST19_FRACT_SKULL_FACIAL_BONES	negative_control	Fracture of skull and facial bones	0.0062608	0.00905543555315257	40	0.00964907878733979	FALSE
H7_CATARACTSENILE	negative_control	Senile cataract	1.05655e-05	0.00197577741481147	40	0.00915331182279796	TRUE
ST19_FRACT_FOOT_ANKLE	negative_control	Fracture of foot, except ankle	0.00123857	0.0078707817468156	40	0.00897442474255144	FALSE
ST19_FRACT_FEMUR	negative_control	Fracture of femur	0.000241457	0.00784264655978402	40	0.00888750615485902	FALSE
ST19_FRACT_SHOUL_UPPER_ARM	negative_control	Fracture of shoulder and upper arm	0.00160679	0.00832365423732678	40	0.00879284652567555	FALSE
K11_HERING	negative_control	Inguinal hernia	1.17576e-06	0.00107631947479082	40	0.00835536318255299	TRUE
ST19_FRACT_WRIST_HAND_LEVEL	negative_control	Fracture at wrist and hand level	0.00291938	0.00692346783586865	40	0.00729669951991453	FALSE
ST19_FRACT_LOWER_LEG_INCLU_ANKLE	negative_control	Fracture of lower leg, including ankle	0.0021697	0.00528018035786466	40	0.00551723108304296	FALSE
I9_VARICVE	negative_control	Varicose veins	0.00178004	0.00500628455790589	40	0.00527983923645985	FALSE
