phenocode,phenotype,category,chapter_prefix,num_cases,num_controls,finngen_R12_url
AUD_SWEDISH,"Alcohol use disorder, Swedish definition",Alcohol related diseases,Alcohol,28861,471487,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AUD_SWEDISH.gz
ALCOHOLACUTE10,"Acute alcohol intoxication, ICD10",Alcohol related diseases,Alcohol,8774,489910,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ALCOHOLACUTE10.gz
ALCO_PRESCRIPTION,"Use of disulfiram, acamprosate or naltrexone",Alcohol related diseases,Alcohol,3513,496835,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ALCO_PRESCRIPTION.gz
OFFICIAL_TILASTOKESKUS_DEATH,"Alcohol related diseases, tilastokeskus definition, death only",Alcohol related diseases,Alcohol,2900,497448,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_OFFICIAL_TILASTOKESKUS_DEATH.gz
ALCOPANCCHRON,Alcohol-induced chronic pancreatitis,Alcohol related diseases,Alcohol,2400,497948,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ALCOPANCCHRON.gz
ST19_TOXIC_EFFECT_ETHAN,Toxic effect of ethanol,Alcohol related diseases,Alcohol,1604,498744,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ST19_TOXIC_EFFECT_ETHAN.gz
ALCOPANCACU,Alcohol-induced acute pancreatitis,Alcohol related diseases,Alcohol,1286,499062,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ALCOPANCACU.gz
ST19_TOXIC_EFFECT_ALCOHOL,Toxic effect of alcohol,Alcohol related diseases,Alcohol,797,495678,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ST19_TOXIC_EFFECT_ALCOHOL.gz
BRONCHITIS,Bronchitis,Asthma and related endpoints,Asthma,77621,422727,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_BRONCHITIS.gz
ASTHMA_INFECTIONS,Asthma-related infections,Asthma and related endpoints,Asthma,31090,441248,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_INFECTIONS.gz
ASTHMA_NAS,"Asthma, unspecified (mode)",Asthma and related endpoints,Asthma,30770,270290,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_NAS.gz
